,Дата,Ставка
322,29.12.2022,7.5
323,28.12.2022,7.5
324,27.12.2022,7.5
325,26.12.2022,7.5
326,23.12.2022,7.5
327,22.12.2022,7.5
328,21.12.2022,7.5
329,20.12.2022,7.5
330,19.12.2022,7.5
331,16.12.2022,7.5
332,15.12.2022,7.5
333,14.12.2022,7.5
334,13.12.2022,7.5
335,12.12.2022,7.5
336,09.12.2022,7.5
337,08.12.2022,7.5
338,07.12.2022,7.5
339,06.12.2022,7.5
340,05.12.2022,7.5
341,02.12.2022,7.5
342,01.12.2022,7.5
343,30.11.2022,7.5
344,29.11.2022,7.5
345,28.11.2022,7.5
346,25.11.2022,7.5
347,24.11.2022,7.5
348,23.11.2022,7.5
349,22.11.2022,7.5
350,21.11.2022,7.5
351,18.11.2022,7.5
352,17.11.2022,7.5
353,16.11.2022,7.5
354,15.11.2022,7.5
355,14.11.2022,7.5
356,11.11.2022,7.5
357,10.11.2022,7.5
358,09.11.2022,7.5
359,08.11.2022,7.5
360,07.11.2022,7.5
361,03.11.2022,7.5
362,02.11.2022,7.5
363,01.11.2022,7.5
364,31.10.2022,7.5
365,28.10.2022,7.5
366,27.10.2022,7.5
367,26.10.2022,7.5
368,25.10.2022,7.5
369,24.10.2022,7.5
370,21.10.2022,7.5
371,20.10.2022,7.5
372,19.10.2022,7.5
373,18.10.2022,7.5
374,17.10.2022,7.5
375,14.10.2022,7.5
376,13.10.2022,7.5
377,12.10.2022,7.5
378,11.10.2022,7.5
379,10.10.2022,7.5
380,07.10.2022,7.5
381,06.10.2022,7.5
382,05.10.2022,7.5
383,04.10.2022,7.5
384,03.10.2022,7.5
385,30.09.2022,7.5
386,29.09.2022,7.5
387,28.09.2022,7.5
388,27.09.2022,7.5
389,26.09.2022,7.5
390,23.09.2022,7.5
391,22.09.2022,7.5
392,21.09.2022,7.5
393,20.09.2022,7.5
394,19.09.2022,7.5
395,16.09.2022,8.0
396,15.09.2022,8.0
397,14.09.2022,8.0
398,13.09.2022,8.0
399,12.09.2022,8.0
400,09.09.2022,8.0
401,08.09.2022,8.0
402,07.09.2022,8.0
403,06.09.2022,8.0
404,05.09.2022,8.0
405,02.09.2022,8.0
406,01.09.2022,8.0
407,31.08.2022,8.0
408,30.08.2022,8.0
409,29.08.2022,8.0
410,26.08.2022,8.0
411,25.08.2022,8.0
412,24.08.2022,8.0
413,23.08.2022,8.0
414,22.08.2022,8.0
415,19.08.2022,8.0
416,18.08.2022,8.0
417,17.08.2022,8.0
418,16.08.2022,8.0
419,15.08.2022,8.0
420,12.08.2022,8.0
421,11.08.2022,8.0
422,10.08.2022,8.0
423,09.08.2022,8.0
424,08.08.2022,8.0
425,05.08.2022,8.0
426,04.08.2022,8.0
